Candidate List of SVHC for authorisation
Note: Group entries are split in different rows.
Export date: 11-mrt-2026 17:20:40


"Substance Identifier"	""	
"Reden voor opname "	""	
"Datum van opname  (from)"	""	
"Datum van opname  (to)"	""	



"Naam van de stof "	"Description"	"EG-nr. "	"CAS-nr. "	"Reden voor opname "	"Datum van opname "	"Besluit "	"IUCLID-gegevensset "	"Ondersteunend document "	"Reactie op commentaren "	"Opmerkingen "	
"Triphenyl phosphate"	""	"204-112-2"	"115-86-6"	"Endocrine disrupting properties (Article 57(f) - environment)"	"07-nov-2024"	"https://echa.europa.eu/documents/10162/5af3b452-563f-ceae-608e-d9206a978b9c"	"https://echa.europa.eu/documents/10162/ef88904b-3e7b-2326-7937-2569a1970af6"	"https://echa.europa.eu/documents/10162/19b0eb6a-bb2f-33ad-1611-0b32b43c49f0"	"https://echa.europa.eu/documents/10162/1c702acc-fc2f-f5b1-ea9d-ba39d4a3ce5a"	""	
"Bis(α,α-dimethylbenzyl) peroxide"	""	"201-279-3"	"80-43-3"	"Toxic for reproduction (Article 57c)"	"27-jun-2024"	"https://echa.europa.eu/documents/10162/733088cd-8dd7-aa78-b278-ad3f5b79e942"	"https://echa.europa.eu/documents/10162/d6f3d76b-597a-1d2e-89d6-d0e81a739b92"	"https://echa.europa.eu/documents/10162/236dc0e0-5123-fc87-1117-ee76d8da8372"	"https://echa.europa.eu/documents/10162/48e7c30f-cd5a-ef64-55ca-c2a6b0133048"	""	
"Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol"	""	"700-960-7"	"-"	"vPvB (Article 57e)"	"23-jan-2024"	"https://echa.europa.eu/documents/10162/0a8c79d0-6ebd-6198-323e-aa97e22da3e1"	"https://echa.europa.eu/documents/10162/634c637f-1400-f2b3-3e6d-ae8b75fe8a6f"	"https://echa.europa.eu/documents/10162/9a9d530a-3944-ebca-a9c3-9d25fe47a9e1""https://echa.europa.eu/documents/10162/6c4b3401-858d-0b65-e5b1-1484fce3c84c""https://echa.europa.eu/documents/10162/7e782af9-ee43-9c63-b3b9-4c979a746bb0"	"https://echa.europa.eu/documents/10162/7cd990a0-7122-92c8-f360-7e9030aee114"	"The name phenol, methylstyrenated and EC number 270-966-8 and CAS number 68512-30-1 have been historically used to identify the substance “Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol”. These identifiers are reported in the candidate list as additional information."	
"Phenol, methylstyrenated"	""	"270-966-8"	"68512-30-1"	"vPvB (Article 57e)"	"23-jan-2024"	"https://echa.europa.eu/documents/10162/0a8c79d0-6ebd-6198-323e-aa97e22da3e1"	"https://echa.europa.eu/documents/10162/634c637f-1400-f2b3-3e6d-ae8b75fe8a6f"	"https://echa.europa.eu/documents/10162/9a9d530a-3944-ebca-a9c3-9d25fe47a9e1""https://echa.europa.eu/documents/10162/6c4b3401-858d-0b65-e5b1-1484fce3c84c""https://echa.europa.eu/documents/10162/7e782af9-ee43-9c63-b3b9-4c979a746bb0"	"https://echa.europa.eu/documents/10162/7cd990a0-7122-92c8-f360-7e9030aee114"	"The name phenol, methylstyrenated and EC number 270-966-8 and CAS number 68512-30-1 have been historically used to identify the substance “Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol”. These identifiers are reported in the candidate list as additional information."	
"Bumetrizole (UV-326)"	""	"223-445-4"	"3896-11-5"	"vPvB (Article 57e)"	"23-jan-2024"	"https://echa.europa.eu/documents/10162/05ea7d09-6615-9ac3-be76-5c9cd96b8eb7"	"https://echa.europa.eu/documents/10162/c5b482b0-1ade-976d-5b4a-d8cf5227bcc7"	"https://echa.europa.eu/documents/10162/94233c79-4de1-80b8-97a0-8ad81d969d84"	"https://echa.europa.eu/documents/10162/abe497c8-9cd7-82e3-540d-beea800982dc"	""	
"2-(dimethylamino)-2-[(4-methylphenyl)methyl]-1-[4-(morpholin-4-yl)phenyl]butan-1-one"	""	"438-340-0"	"119344-86-4"	"Toxic for reproduction (Article 57c)"	"23-jan-2024"	"https://echa.europa.eu/documents/10162/fd512d85-da9a-f5f3-a976-86ab4eca63dc"	"https://echa.europa.eu/documents/10162/035bf1c5-2e51-8bca-e90f-aeed72d4bce8"	"https://echa.europa.eu/documents/10162/05406482-711d-a786-c26d-47115cab58c1"	"https://echa.europa.eu/documents/10162/1221ef83-3bd4-dbdd-08d2-1be0a9a49023"	""	
"2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol (UV-329)"	""	"221-573-5"	"3147-75-9"	"vPvB (Article 57e)"	"23-jan-2024"	"https://echa.europa.eu/documents/10162/ee0c2587-d57b-01d1-9f91-2309c8bf0d89"	"https://echa.europa.eu/documents/10162/fca389fe-e982-c59c-8c1e-cbadb70c65e6"	"https://echa.europa.eu/documents/10162/fd8ac81a-0677-7b9d-8cbe-fdd091a689b1"	"https://echa.europa.eu/documents/10162/f459fc07-ef0e-e1f4-10b8-29bf4a6a2ca6"	""	
"2,4,6-tri-tert-butylphenol"	""	"211-989-5"	"732-26-3"	"Toxic for reproduction (Article 57c)""PBT (Article 57d)"	"23-jan-2024"	"https://echa.europa.eu/documents/10162/4e4d1a17-caca-03c5-8f48-42cc69a75cc3"	"https://echa.europa.eu/documents/10162/b998098f-c61f-6c7a-1500-2e10d3f291c2"	"https://echa.europa.eu/documents/10162/3c90b7d6-d44d-3158-09be-62500f784117"	"https://echa.europa.eu/documents/10162/cfa927dc-22e0-671c-4ea8-38ff1479c011"	""	
"diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide"	""	"278-355-8"	"75980-60-8"	"Toxic for reproduction (Article 57c)"	"14-jun-2023"	"https://echa.europa.eu/documents/10162/a9f6af4d-579d-12ab-1e99-dc94b2be02b5"	"https://echa.europa.eu/documents/10162/bba7bd61-c532-61e7-f84a-46be8495747b"	"https://echa.europa.eu/documents/10162/2c882400-790a-8df7-5da1-5434e2ddaa2b"	"https://echa.europa.eu/documents/10162/95a153af-c61f-9216-eee2-76123989bc6e"	""	
"bis(4-chlorophenyl) sulphone"	""	"201-247-9"	"80-07-9"	"vPvB (Article 57e)"	"14-jun-2023"	"https://echa.europa.eu/documents/10162/9632ec09-e901-d718-e54c-78ea9a7ef1d2"	"https://echa.europa.eu/documents/10162/63a9b09d-1319-9c0d-3390-6d41aad19e45"	"https://echa.europa.eu/documents/10162/78530af8-b2e3-a962-c6bc-07405104b4b7"	"https://echa.europa.eu/documents/10162/59aaa00c-81fa-6259-a53a-aae021b40f38"	""	
"reaction mass of 2,2,3,3,5,5,6,6-octafluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)morpholine and 2,2,3,3,5,5,6,6-octafluoro-4-(heptafluoropropyl)morpholine"	""	"473-390-7"	"-"	"vPvB (Article 57e)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/63bacec8-0474-2eb7-f806-df033037e179"	"https://echa.europa.eu/documents/10162/9e6b1274-70f2-bf1e-90d9-a12700e18bd5"	"https://echa.europa.eu/documents/10162/3f294a7d-108a-5793-8f18-17bc85716e08"	"https://echa.europa.eu/documents/10162/6b868b22-2b62-1e00-19cf-b3747c19d7b6"	""	
"Perfluoroheptanoic acid and its salts"	""	"-"	"-"	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/a74c795f-dd93-830a-08a8-c6c585400742"	"https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da"	"https://echa.europa.eu/documents/10162/0eb7e7f6-a1a1-831e-4d0d-e13c1b13c28a"	"https://echa.europa.eu/documents/10162/bbe905ea-43ce-50e7-694a-171e6327fa98"	""	
"Perfluoroheptanoic acid"	""	"206-798-9"	"375-85-9"	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/a74c795f-dd93-830a-08a8-c6c585400742"	"https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da"	"https://echa.europa.eu/documents/10162/0eb7e7f6-a1a1-831e-4d0d-e13c1b13c28a"	"https://echa.europa.eu/documents/10162/bbe905ea-43ce-50e7-694a-171e6327fa98"	""	
"Sodium perfluoroheptanoate"	""	"243-518-4"	"20109-59-5"	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/a74c795f-dd93-830a-08a8-c6c585400742"	"https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da"	"https://echa.europa.eu/documents/10162/0eb7e7f6-a1a1-831e-4d0d-e13c1b13c28a"	"https://echa.europa.eu/documents/10162/bbe905ea-43ce-50e7-694a-171e6327fa98"	""	
"potassium perfluoroheptanoate"	""	"-"	"21049-36-5"	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/a74c795f-dd93-830a-08a8-c6c585400742"	"https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da"	"https://echa.europa.eu/documents/10162/0eb7e7f6-a1a1-831e-4d0d-e13c1b13c28a"	"https://echa.europa.eu/documents/10162/bbe905ea-43ce-50e7-694a-171e6327fa98"	""	
"Ammonium perfluoroheptanoate"	""	"228-098-2"	"6130-43-4"	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/a74c795f-dd93-830a-08a8-c6c585400742"	"https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da"	"https://echa.europa.eu/documents/10162/0eb7e7f6-a1a1-831e-4d0d-e13c1b13c28a"	"https://echa.europa.eu/documents/10162/bbe905ea-43ce-50e7-694a-171e6327fa98"	""	
"Melamine"	""	"203-615-4"	"108-78-1"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/653a0781-6b4b-d085-5393-edc530459a4f"	"https://echa.europa.eu/documents/10162/400552f2-c5b1-b2d7-2572-6ffa0cafa310"	"https://echa.europa.eu/documents/10162/a94feb1d-4719-61ce-f815-0ee82ba17762"	"https://echa.europa.eu/documents/10162/9e7356e0-1da3-6710-d5eb-e1409a3a9ffa"	""	
"Isobutyl 4-hydroxybenzoate"	""	"224-208-8"	"4247-02-3"	"Endocrine disrupting properties (Article 57(f) - human health)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/f7f66e6b-8952-54fc-eef6-ab16d5d294bb"	"https://echa.europa.eu/documents/10162/3ee697d2-1942-3ab9-45ae-2579795169ce"	"https://echa.europa.eu/documents/10162/7805bba2-8ee9-6579-bf7b-88f7e2030c9a""https://echa.europa.eu/documents/10162/d85e48f5-7ef7-c2d9-73d3-8d65ecd73f12""https://echa.europa.eu/documents/10162/e3035965-6913-bd85-1d3e-cac410bf2fcb"	"https://echa.europa.eu/documents/10162/7241207b-b1c8-f174-d346-5051ce1583ff"	""	
"bis(2-ethylhexyl) tetrabromophthalate covering any of the individual isomers and/or combinations thereof"	""	"-"	"-"	"vPvB (Article 57e)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/03b75dc6-489d-44a4-3a91-9e8854a4584e"	"https://echa.europa.eu/documents/10162/042c08dc-3385-5cc7-b851-e60ecead7a0b"	"https://echa.europa.eu/documents/10162/170b9b2f-a1d0-9661-d36d-faf0846f6763"	"https://echa.europa.eu/documents/10162/e7d3971a-6f01-b503-13d9-d82cecf4b0ad"	""	
"Bis(2-ethylhexyl) tetrabromophthalate"	""	"247-426-5"	"26040-51-7"	"vPvB (Article 57e)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/03b75dc6-489d-44a4-3a91-9e8854a4584e"	"https://echa.europa.eu/documents/10162/042c08dc-3385-5cc7-b851-e60ecead7a0b"	"https://echa.europa.eu/documents/10162/170b9b2f-a1d0-9661-d36d-faf0846f6763"	"https://echa.europa.eu/documents/10162/e7d3971a-6f01-b503-13d9-d82cecf4b0ad"	""	
"Barium diboron tetraoxide"	""	"237-222-4"	"13701-59-2"	"Toxic for reproduction (Article 57c)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/301582c5-3f0d-8698-f00a-fcfd56737350"	"https://echa.europa.eu/documents/10162/ece3647e-bf00-b6bc-b668-9c1688f9e0a1"	"https://echa.europa.eu/documents/10162/dd52fbc0-7d62-2708-7285-e486c67d52c2"	"https://echa.europa.eu/documents/10162/4ddfad88-87cd-15bc-0297-0a784b23a1bf"	""	
"4,4'-sulphonyldiphenol"	""	"201-250-5"	"80-09-1"	"Toxic for reproduction (Article 57c)""Endocrine disrupting properties (Article 57(f) - environment)""Endocrine disrupting properties (Article 57(f) - human health)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/4ccf3271-2d8a-a026-a689-52f26f2610ee"	"https://echa.europa.eu/documents/10162/ee7a9523-4533-90fe-3e9f-84f4e6cdce32"	"https://echa.europa.eu/documents/10162/cffe2e0d-2c25-bfb1-f5ff-eca0b3b30f32"	"https://echa.europa.eu/documents/10162/9a0c40de-ee96-49b4-9ac5-d6dee8fa5985"	""	
"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol"	""	"201-236-9"	"79-94-7"	"Carcinogenic (Article 57a)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/dfb4de3c-5868-4ef8-d675-ba8daf759cf3"	"https://echa.europa.eu/documents/10162/d89e7bbc-bac9-a092-4c94-30a067b46656"	"https://echa.europa.eu/documents/10162/9238ce7d-52aa-e2a1-5474-b5adf5ca9003"	"https://echa.europa.eu/documents/10162/62473a52-ba74-48e6-90eb-108788cf592b"	""	
"1,1'-[ethane-1,2-diylbisoxy]bis[2,4,6-tribromobenzene]"	""	"253-692-3"	"37853-59-1"	"vPvB (Article 57e)"	"17-jan-2023"	"https://echa.europa.eu/documents/10162/382d3710-462b-09b3-4a65-a3df830db6e3"	"https://echa.europa.eu/documents/10162/dfd5c516-be38-2da8-5a2c-5815a938e9ab"	"https://echa.europa.eu/documents/10162/f23e510a-2a13-8942-c9f9-4e9951015862"	"https://echa.europa.eu/documents/10162/91e92169-98d3-e2a4-d0c1-d63f4fd2da0b"	""	
"N-(hydroxymethyl)acrylamide"	""	"213-103-2"	"924-42-5"	"Carcinogenic (Article 57a)""Mutagenic (Article 57b)"	"10-jun-2022"	"https://echa.europa.eu/documents/10162/02904d92-61a9-be52-f565-a6ec65c0fcbd"	"https://echa.europa.eu/documents/10162/7b2404fe-f91e-0b39-32b7-b853e82ab2af"	"https://echa.europa.eu/documents/10162/f5c6a946-c14d-b45d-b9ca-cc0bd85403c4"	"https://echa.europa.eu/documents/10162/32f6be21-a6b3-9730-ddc5-2bb7050499a5"	""	
"tris(2-methoxyethoxy)vinylsilane"	""	"213-934-0"	"1067-53-4"	"Toxic for reproduction (Article 57c)"	"17-jan-2022"	"https://echa.europa.eu/documents/10162/1b4d5632-3958-a563-bbd4-d318e59e520b"	"https://echa.europa.eu/documents/10162/b175f54b-e658-de9b-0dec-dad099bb1f17"	"https://echa.europa.eu/documents/10162/21bc25f0-b6f0-1174-18ba-a9081578097e"	"https://echa.europa.eu/documents/10162/3914417a-18b5-5334-8d25-fc1a40d0782e"	""	
