label,uri
"1,3-dithiolanecarboxylic acids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003380
"1,3-dithiolanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003373
"1,3-dithioles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003625
"1,3-isoquinolinediones",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002932
"1,3-oxazepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001340
"1,3-oxazinanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002790
"1,3-oxazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001341
"1,3-oxazolobenzo-1,4-diazepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004798
"1,3-substituted cyclopentyl nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003740
"1,3-substituted cyclopentyl purine nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003718
"1,3-substituted cyclopentyl pyrimidine nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003720
"1,3-substituted phosphonated cyclopentyl nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003743
"1,3-substituted phosphonated cyclopentyl purine nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003731
"1,3-substituted phosphonated cyclopentyl pyrimidine nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003732
"1,3-thiazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001347
"1,3-thiazole carboxanilides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004685
"1,3-thiazolo[5,4-d]pyrimidines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004401
"1,4-benzodiazepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004097
"1,4-benzodithiins",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002807
"1,4-diazepanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002923
"1,4-diazepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001336
"1,4-dihalobenzenes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003666
"1,4-dihydroxy-2-halobenzenoids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004695
