source_a,source_b,jaccard
pops_process,candidate_list,0.004784688995215311
pops_process,clh_process,0
pops_process,dossier_evaluation,0
pops_process,ed_assessment,0
pops_process,eu_positive_list,0
pops_process,harmonised_list,6.134969325153375e-4
pops_process,pbt_assessment,0.018633540372670808
pops_process,pesticides,0.0028222013170272815
pops_process,pops_list,0.15789473684210525
pops_process,pops_process,1
pops_process,reach_registrations,1.2705673083031574e-4
pops_process,restriction_list,0
pops_process,restriction_process,0
pops_process,sommatie_stoffen,0
pops_process,substance_evaluation,0
pops_process,svhc_identification,0.0045662100456621
reach_registrations,authorisation_list,0.0019042782785324362
reach_registrations,authorisation_process,0.005014281180577594
reach_registrations,candidate_list,0.010072215887495248
reach_registrations,clh_process,0.029863801074597025
reach_registrations,dossier_evaluation,0.17323084741455977
reach_registrations,ed_assessment,0.006601917095156478
reach_registrations,eu_positive_list,0.051547678482276586
reach_registrations,harmonised_list,0.13104310550130985
reach_registrations,pbt_assessment,0.009652632247412205
reach_registrations,pesticides,0.018551076083661716
reach_registrations,pops_list,1.269438273563948e-4
reach_registrations,pops_process,1.2705673083031574e-4
reach_registrations,reach_registrations,1
reach_registrations,restriction_list,0.0014605956690163205
reach_registrations,restriction_process,7.62291957819845e-4
reach_registrations,sommatie_stoffen,6.337135614702154e-4
reach_registrations,substance_evaluation,0.020458733083423344
reach_registrations,svhc_identification,0.010961855278164997
restriction_list,authorisation_list,0
restriction_list,authorisation_process,0.03278688524590164
restriction_list,candidate_list,0.021551724137931036
restriction_list,clh_process,0.011734028683181226
restriction_list,dossier_evaluation,0.004
restriction_list,ed_assessment,0.013605442176870748
restriction_list,eu_positive_list,0.010619469026548672
restriction_list,harmonised_list,0.007659313725490196
restriction_list,pbt_assessment,0
restriction_list,pesticides,9.157509157509158e-4
restriction_list,pops_list,0
restriction_list,pops_process,0
restriction_list,reach_registrations,0.0014605956690163205
restriction_list,restriction_list,1
restriction_list,restriction_process,0.24324324324324326
restriction_list,sommatie_stoffen,0
restriction_list,substance_evaluation,0.011461318051575931
restriction_list,svhc_identification,0.029166666666666667
restriction_process,authorisation_list,0.01694915254237288
restriction_process,authorisation_process,0.057692307692307696
restriction_process,candidate_list,0.03271028037383177
restriction_process,clh_process,0.007957559681697613
restriction_process,dossier_evaluation,0.0029229082937522835
restriction_process,ed_assessment,0.007575757575757576
restriction_process,eu_positive_list,0.006255585344057194
restriction_process,harmonised_list,0.003372164316370325
restriction_process,pbt_assessment,0.011560693641618497
