inchikey,n_cas
AJRYCRIQZBMNEO-UHFFFAOYSA-N,1
AJSTXXYNEIHPMD-UHFFFAOYSA-N,1
AJTVSSFTXWNIRG-UHFFFAOYSA-N,1
AJXNWWLXMKDNHF-UHFFFAOYSA-L,1
AJXYQJKBNYBUFD-AATRIKPKSA-N,1
AJYOOHCNOXWTKJ-UHFFFAOYSA-N,1
AJYXPNIENRLELY-UHFFFAOYSA-N,1
AKCRQHGQIJBRMN-UHFFFAOYSA-N,1
AKCZQKBKWXBJOF-UHFFFAOYSA-N,1
AKEBROIVCDHVSD-UHFFFAOYSA-N,1
AKEJUJNQAAGONA-UHFFFAOYSA-N,1
AKETXTOLBLTPTP-DTORHVGOSA-N,1
AKFQPPWEZQPEOU-AXPABZMGSA-N,1
AKGGYBADQZYZPD-UHFFFAOYSA-N,1
AKGNHAWSXXEAPG-UHFFFAOYSA-N,1
AKHNMLFCWUSKQB-UHFFFAOYSA-L,1
AKIIJALHGMKJEJ-UHFFFAOYSA-N,1
AKKLPLPBIJUVIJ-UHFFFAOYSA-N,1
AKLDPNVZTZIVFA-UHFFFAOYSA-N,1
AKLOLDQYWQAREW-UHFFFAOYSA-N,1
AKMADBIBLGBZQJ-UHFFFAOYSA-N,1
AKNMPWVTPUHKCG-UHFFFAOYSA-N,1
AKNNEGZIBPJZJG-MSOLQXFVSA-N,1
AKNPEMSZIKCOGC-UHFFFAOYSA-L,1
AKNQMEBLVAMSNZ-UHFFFAOYSA-N,1
AKNUHUCEWALCOI-UHFFFAOYSA-N,1
AKPLHCDWDRPJGD-UHFFFAOYSA-N,1
AKQDXNFPEFHRLS-UHFFFAOYSA-N,1
AKQXKEBCONUWCL-MRVPVSSYSA-N,1
AKTIAGQCYPCKFX-FDGPNNRMSA-L,1
AKTQJCBOGPBERP-UHFFFAOYSA-N,1
AKTZESRUXGGXDA-UHFFFAOYSA-N,1
AKUJBENLRBOFTD-RPRRAYFGSA-N,1
AKUPWWXXOPZGCK-UHFFFAOYSA-N,1
AKUZJQBOBCRXOK-UHFFFAOYSA-N,1
AKVOQXBQLXOEEF-UHFFFAOYSA-N,1
AKVPERSFJZUJKD-UHFFFAOYSA-N,1
AKWWLTUICPVQSH-UHFFFAOYSA-N,1
AKXKBAWZIVNNJR-UHFFFAOYSA-N,1
AKXUUJCMWZFYMV-UHFFFAOYSA-M,1
AKYHKWQPZHDOBW-DSXUQNDKSA-N,1
AKYKNEHYFVLCTH-UHFFFAOYSA-N,1
AKZGRLPMRGISIC-XDFJSJKPSA-N,1
ALAVMPYROHSFFR-UHFFFAOYSA-N,1
ALCUWNWVZNZFHQ-UHFFFAOYSA-N,1
ALEQYMYLCJULCZ-UHFFFAOYSA-H,1
ALEROMXYYSQFLX-UHFFFAOYSA-N,1
ALEXXDVDDISNDU-JZYPGELDSA-N,1
ALHUZKCOMYUFRB-UHFFFAOYSA-N,1
ALHZEIINTQJLOT-VKHMYHEASA-N,1
ALIWXHRFAQHUSM-UHFFFAOYSA-N,1
ALJPGKSDBZFNBR-UHFFFAOYSA-N,1
ALKFFFMRJJCGPJ-UHFFFAOYSA-N,1
ALKWTKGPKKAZMN-UHFFFAOYSA-N,1
ALKYHXVLJMQRLQ-UHFFFAOYSA-N,1
ALLHOOZJEFGTPW-UHFFFAOYSA-N,1
ALLOLPOYFRLCCX-UHFFFAOYSA-N,1
ALMMLSQBERCMRB-UHFFFAOYSA-O,1
ALMPAURXOKUEBC-UHFFFAOYSA-O,1
ALNWQAFPXMGLTJ-UHFFFAOYSA-N,1
ALODGFKBCVQWER-UHFFFAOYSA-N,1
ALOLCXGUQMXLCJ-UHFFFAOYSA-L,1
ALOUNLDAKADEEB-UHFFFAOYSA-N,1
ALQLPWJFHRMHIU-UHFFFAOYSA-N,1
ALQSHHUCVQOPAS-UHFFFAOYSA-N,1
ALRBSLUQPNZWNH-UHFFFAOYSA-N,1
ALRFTTOJSPMYSY-UHFFFAOYSA-N,1
ALRNDEVMBWIXII-UHFFFAOYSA-G,1
ALRTZORJZUBQGM-UHFFFAOYSA-N,1
ALSCPZRLSDLPES-UHFFFAOYSA-N,1
ALSTYHKOOCGGFT-KTKRTIGZSA-N,1
ALVJDUNBMKMTDC-UHFFFAOYSA-N,1
ALVKGSGIVCHADB-UHFFFAOYSA-N,1
ALVXXWPPAVGXHP-UHFFFAOYSA-N,1
ALVYUZIFSCKIFP-UHFFFAOYSA-N,1
ALVZNPYWJMLXKV-UHFFFAOYSA-N,1
ALWUKGXLBSQSMA-UHFFFAOYSA-N,1
ALXCWDABTQQKAH-UHFFFAOYSA-N,1
ALXDAYUOWUEKLS-UHFFFAOYSA-M,1
ALYMILAYQDOMFU-UHFFFAOYSA-L,1
ALYNCZNDIQEVRV-UHFFFAOYSA-N,1
ALZFPYUPNVLVQM-UHFFFAOYSA-N,1
ALZOAPFBIJYQNI-UHFFFAOYSA-M,1
ALZOLUNSQWINIR-UHFFFAOYSA-N,1
ALZVPLKYDKJKQU-XVKPBYJWSA-N,1
AMCLPZVIVCCLMU-ZCIVCQFFSA-N,1
AMCNGINELBODDW-UHFFFAOYSA-N,1
AMECABTUOXBYGQ-UHFFFAOYSA-H,1
AMEIILZCUWMPEV-ONEGZZNKSA-N,1
AMEKPYPAOVQLRD-UHFFFAOYSA-K,1
AMEKQAFGQBKLKX-UHFFFAOYSA-N,1
AMFGTOFWMRQMEM-UHFFFAOYSA-N,1
AMHDHUVBOKXALL-UHFFFAOYSA-N,1
AMHNZOICSMBGDH-UHFFFAOYSA-L,1
AMIMRNSIRUDHCM-UHFFFAOYSA-N,1
AMJRWYXCCAKMKX-UHFFFAOYSA-M,1
AMNKUTQKJPZMMF-NXAOXGSFSA-M,1
AMNLXDDJGGTIPL-UHFFFAOYSA-N,1
AMOSSTKBTVKFNW-VOMIJIAVSA-N,1
AMQJEAYHLZJPGS-UHFFFAOYSA-N,1
AMQKEJDPYCXDMK-UHFFFAOYSA-N,1
AMRQXHFXNZFDCH-SECBINFHSA-N,1
AMSFQCPTBOTWPN-UHFFFAOYSA-J,1
AMSPWOYQQAWRRM-UHFFFAOYSA-N,1
AMTITFMUKRZZEE-WAYWQWQTSA-N,1
AMTJSDBKPMMKKQ-UHFFFAOYSA-N,1
AMVYOVYGIJXTQB-UHFFFAOYSA-N,1
AMXOYNBUYSYVKV-UHFFFAOYSA-M,1
AMYYUKGKCJKCBI-UHFFFAOYSA-N,1
AMZKGJLFYCZDMJ-WRBBJXAJSA-N,1
AMZPPWFHMNMIEI-UHFFFAOYSA-M,1
ANEBWFXPVPTEET-UHFFFAOYSA-N,1
ANERHPOLUMFRDC-UHFFFAOYSA-K,1
ANFZGSBFEPFDNR-NFJWQWPMSA-N,1
ANGDWNBGPBMQHW-UHFFFAOYSA-N,1
ANHSYXRMFUXHJI-UHFFFAOYSA-H,1
ANIAQSUBRGXWLS-UHFFFAOYSA-N,1
ANISOHQJBAQUQP-UHFFFAOYSA-N,1
ANJQEDFWRSLVBR-VHUDCFPWSA-N,1
ANMVTDVBEDVFRB-UHFFFAOYSA-N,1
ANOBYBYXJXCGBS-UHFFFAOYSA-L,1
ANOMHKZSQFYSBR-UHFFFAOYSA-N,1
ANOUKFYBOAKOIR-UHFFFAOYSA-N,1
ANSXAPJVJOKRDJ-UHFFFAOYSA-N,1
ANTMWDHEHVXODC-UHFFFAOYSA-N,1
ANXBDAFDZSXOPQ-UHFFFAOYSA-N,1
ANYRIEBHVNPTQO-UHFFFAOYSA-N,1
ANZYHCANZHHXJG-UHFFFAOYSA-N,1
AOBIOSPNXBMOAT-UHFFFAOYSA-N,1
AOBSJQWEYXEPBK-BETUJISGSA-N,1
AOBXSTDXJGPLRC-UHFFFAOYSA-J,1
AOCBYTWGHBVWRJ-UHFFFAOYSA-L,1
AOCSUUGBCMTKJH-UHFFFAOYSA-N,1
AOFKXIRJCWKERQ-UHFFFAOYSA-N,1
AOGQMZTYRNPXND-UHFFFAOYSA-M,1
AOGQPLXWSUTHQB-UHFFFAOYSA-N,1
AOHJOMMDDJHIJH-UHFFFAOYSA-N,1
AOJAJTJZSBVNPU-UHFFFAOYSA-N,1
